from,to,value,label
1,168,1,STS-95
1,213,1,STS-95
1,217,1,STS-95
1,227,1,STS-95
2,14,1,Gemini-6
2,20,1,Apollo-7
2,24,1,Apollo-7
3,41,1,Apollo-14
3,48,1,Apollo-14
4,14,1,Apollo-Soyuz-Test-Project
4,42,1,Apollo-Soyuz-Test-Project
6,15,1,Gemini-3
7,12,1,Gemini-5
9,10,2,"Apollo-8, Gemini-7"
9,27,1,Apollo-8
10,18,1,Gemini-12
10,27,1,Apollo-8
10,43,1,Apollo-13
10,50,1,Apollo-13
11,16,1,Gemini-4
11,25,1,Apollo-9
11,30,1,Apollo-9
12,17,2,"Apollo-12, Gemini-11"
12,23,1,Apollo-12
12,33,1,Skylab-2
12,45,1,Skylab-2
13,18,1,Apollo-11
13,21,1,Apollo-11
13,25,1,Gemini-8
14,15,1,Apollo-10
14,28,2,"Apollo-10, Gemini-9"
14,42,1,Apollo-Soyuz-Test-Project
15,21,1,Gemini-10
15,28,1,Apollo-10
15,31,1,STS-9
15,52,1,Apollo-16
15,54,1,Apollo-16
15,61,1,STS-9
15,71,1,STS-1
15,91,1,STS-9
17,23,1,Apollo-12
18,21,1,Apollo-11
20,24,1,Apollo-7
23,31,1,Skylab-3
23,53,1,Skylab-3
25,30,1,Apollo-9
25,39,1,Apollo-15
25,44,1,Apollo-15
28,35,1,Apollo-17
28,49,1,Apollo-17
31,53,1,Skylab-3
31,61,1,STS-9
31,91,1,STS-9
33,45,1,Skylab-2
35,49,1,Apollo-17
36,38,1,Skylab-4
36,46,1,Skylab-4
38,46,1,Skylab-4
39,44,1,Apollo-15
40,57,1,STS-51-B
40,69,1,STS-51-B
40,77,1,STS-51-B
40,85,1,STS-51-B
41,48,1,Apollo-14
42,55,1,STS-41-B
42,61,1,STS-35
42,62,1,STS-5
42,63,1,STS-5
42,69,1,STS-5
42,80,1,STS-41-B
42,90,1,STS-35
42,99,1,STS-41-B
42,105,1,STS-41-B
42,116,1,STS-35
42,121,1,STS-35
43,50,1,Apollo-13
45,60,1,STS-6
45,67,1,STS-6
45,73,1,STS-6
47,72,1,STS-2
47,88,1,STS-51-I
47,115,1,STS-51-I
47,116,1,STS-51-I
52,54,1,Apollo-16
53,70,1,STS-3
54,68,1,STS-4
54,89,1,STS-51-C
54,92,1,STS-51-C
54,95,1,STS-51-C
55,80,1,STS-41-B
55,89,1,STS-31
55,99,1,STS-41-B
55,105,1,STS-41-B
55,107,1,STS-31
55,108,1,STS-31
55,117,1,STS-31
56,60,1,STS-51-F
56,66,1,STS-51-F
56,70,1,STS-51-F
56,111,1,STS-51-F
57,69,1,STS-51-B
57,72,1,STS-8
57,77,1,STS-51-B
57,81,1,STS-8
57,83,1,STS-8
57,85,1,STS-51-B
57,101,1,STS-8
60,66,1,STS-51-F
60,67,1,STS-6
60,70,1,STS-51-F
60,73,1,STS-6
60,77,2,"STS-33, STS-44"
60,90,1,STS-61
60,96,1,STS-61
60,110,1,STS-33
60,111,1,STS-51-F
60,132,1,STS-33
60,141,2,"STS-33, STS-61"
60,150,1,STS-44
60,157,1,STS-80
60,158,1,STS-44
60,161,1,STS-61
60,163,1,STS-44
60,171,1,STS-61
60,174,1,STS-80
60,178,1,STS-80
60,203,1,STS-80
61,90,1,STS-35
61,91,1,STS-9
61,116,1,STS-35
61,121,1,STS-35
62,63,1,STS-5
62,69,1,STS-5
62,78,1,STS-51-A
62,87,1,STS-51-A
62,101,1,STS-51-A
62,103,1,STS-51-A
63,69,1,STS-5
66,70,1,STS-51-F
66,111,1,STS-51-F
67,73,1,STS-6
68,81,1,STS-61-A
68,92,1,STS-61-A
68,93,1,STS-41-D
68,94,1,STS-41-D
68,98,1,STS-61-A
68,102,1,STS-41-D
68,108,1,STS-41-D
68,123,1,STS-61-A
69,77,1,STS-51-B
69,85,1,STS-51-B
70,111,1,STS-51-F
71,74,1,STS-7
71,75,1,STS-41-C
71,78,1,STS-7
71,85,1,STS-7
71,86,1,STS-41-G
71,88,1,STS-41-C
71,97,1,STS-41-C
71,104,1,STS-41-C
71,106,2,"STS-41-G, STS-7"
71,107,1,STS-41-G
71,124,1,STS-41-G
72,81,1,STS-8
72,83,1,STS-8
72,101,1,STS-8
73,76,1,STS-51-D
73,79,1,STS-51-D
73,80,1,STS-51-J
73,90,1,STS-51-D
73,100,1,STS-51-D
73,114,1,STS-51-J
73,125,1,STS-51-J
74,78,1,STS-7
74,82,1,STS-51-G
74,83,1,STS-51-G
74,84,1,STS-51-G
74,85,1,STS-7
74,98,1,STS-51-G
74,106,1,STS-7
75,88,1,STS-41-C
75,97,1,STS-41-C
75,104,1,STS-41-C
76,79,1,STS-51-D
76,90,1,STS-51-D
76,100,1,STS-51-D
77,85,1,STS-51-B
77,110,1,STS-33
77,132,1,STS-33
77,141,1,STS-33
77,150,1,STS-44
77,158,1,STS-44
77,163,1,STS-44
78,85,1,STS-7
78,87,1,STS-51-A
78,96,1,STS-26
78,101,1,STS-51-A
78,103,1,STS-51-A
78,104,1,STS-26
78,106,1,STS-7
78,116,1,STS-26
78,125,1,STS-26
79,82,1,STS-34
79,90,1,STS-51-D
79,100,1,STS-51-D
79,126,1,STS-34
79,129,1,STS-34
79,143,1,STS-34
80,99,1,STS-41-B
80,105,1,STS-41-B
80,114,1,STS-51-J
80,125,1,STS-51-J
81,83,1,STS-8
81,87,1,STS-53
81,92,1,STS-61-A
81,94,1,STS-39
81,98,1,STS-61-A
81,101,1,STS-8
81,123,1,STS-61-A
81,130,1,STS-39
81,139,1,STS-39
81,145,1,STS-53
81,156,1,STS-39
81,158,1,STS-53
81,164,1,STS-39
81,169,1,STS-39
81,176,1,STS-53
82,83,1,STS-51-G
82,84,1,STS-51-G
82,98,1,STS-51-G
82,100,1,STS-58
82,110,3,"Mir, STS-43, STS-58"
82,126,1,STS-34
82,129,1,STS-34
82,131,1,STS-43
82,143,1,STS-34
82,144,1,STS-43
82,146,1,STS-79
82,153,1,STS-43
82,161,1,STS-79
82,162,1,STS-79
82,172,1,Mir
82,173,1,STS-79
82,175,1,STS-58
82,181,1,STS-79
82,182,1,STS-58
82,184,1,STS-58
83,84,1,STS-51-G
83,98,1,STS-51-G
83,101,1,STS-8
83,123,1,STS-32
83,136,1,STS-32
83,141,1,STS-49
83,142,1,STS-32
83,144,1,STS-32
83,154,1,STS-49
83,156,1,STS-49
83,159,1,STS-49
83,161,1,STS-49
83,166,1,STS-49
84,92,1,STS-48
84,93,1,STS-36
84,98,1,STS-51-G
84,125,1,STS-36
84,128,1,STS-36
84,138,1,STS-48
84,154,1,STS-36
84,155,1,STS-48
84,160,1,STS-48
85,87,1,STS-30
85,99,1,STS-71
85,106,1,STS-7
85,114,2,"STS-30, STS-42"
85,120,1,STS-30
85,123,1,STS-71
85,125,1,STS-42
85,140,1,STS-30
85,143,1,STS-71
85,148,1,STS-42
85,162,1,STS-42
85,169,1,STS-71
85,180,1,STS-71
86,106,1,STS-41-G
86,107,1,STS-41-G
86,124,1,STS-41-G
87,101,1,STS-51-A
87,103,1,STS-51-A
87,114,1,STS-30
87,120,1,STS-30
87,140,1,STS-30
87,145,1,STS-53
87,158,2,"STS-53, STS-69"
87,174,1,STS-69
87,176,1,STS-53
87,187,1,STS-69
87,202,1,STS-69
88,97,1,STS-41-C
88,104,1,STS-41-C
88,115,1,STS-51-I
88,116,1,STS-51-I
89,90,1,STS-46
89,92,1,STS-51-C
89,95,1,STS-51-C
89,107,1,STS-31
89,108,1,STS-31
89,117,1,STS-31
89,126,1,STS-46
89,136,1,STS-46
89,167,1,STS-46
90,96,1,STS-61
90,100,1,STS-51-D
90,116,1,STS-35
90,121,1,STS-35
90,126,2,"STS-46, STS-75"
90,136,1,STS-46
90,141,1,STS-61
90,161,1,STS-61
90,167,2,"STS-46, STS-75"
90,171,1,STS-61
90,205,1,STS-75
91,112,1,STS-61-B
91,118,1,STS-28
91,119,1,STS-61-B
91,120,1,STS-61-B
91,122,1,STS-61-B
91,124,1,STS-28
91,131,1,STS-28
91,138,1,STS-28
92,94,1,STS-29
92,95,1,STS-51-C
92,98,1,STS-61-A
92,109,1,STS-29
92,110,1,STS-29
92,123,1,STS-61-A
92,127,1,STS-29
92,138,1,STS-48
92,155,1,STS-48
92,160,1,STS-48
93,94,1,STS-41-D
93,99,1,STS-27
93,102,1,STS-41-D
93,108,1,STS-41-D
93,121,1,STS-27
93,122,1,STS-27
93,125,1,STS-36
93,128,1,STS-36
93,154,1,STS-36
94,102,1,STS-41-D
94,108,1,STS-41-D
94,109,1,STS-29
94,110,1,STS-29
94,127,1,STS-29
94,130,1,STS-39
94,139,1,STS-39
94,156,1,STS-39
94,164,1,STS-39
94,169,1,STS-39
96,104,1,STS-26
96,109,1,STS-38
96,116,1,STS-26
96,125,1,STS-26
96,133,1,STS-38
96,141,1,STS-61
96,147,1,STS-38
96,155,1,STS-38
96,161,1,STS-61
96,171,1,STS-61
97,104,1,STS-41-C
98,122,2,"STS-37, STS-55"
98,123,1,STS-61-A
98,134,1,STS-37
98,135,1,STS-37
98,146,1,STS-37
98,149,1,STS-37
98,150,1,STS-55
98,180,1,STS-55
98,183,1,STS-55
99,104,1,STS-61-C
99,105,1,STS-41-B
99,108,1,STS-61-C
99,121,1,STS-27
99,122,1,STS-27
99,123,1,STS-71
99,126,1,STS-61-C
99,140,1,STS-47
99,143,1,STS-71
99,146,1,STS-47
99,165,1,STS-47
99,168,1,STS-47
99,169,1,STS-71
99,170,1,STS-47
99,180,1,STS-71
100,110,1,STS-58
100,119,1,STS-40
100,127,1,STS-40
100,137,1,STS-40
100,157,1,STS-40
100,175,1,STS-58
100,182,1,STS-58
100,184,1,STS-58
101,103,1,STS-51-A
102,108,1,STS-41-D
104,108,1,STS-61-C
104,116,1,STS-26
104,125,1,STS-26
104,126,1,STS-61-C
106,107,1,STS-41-G
106,124,1,STS-41-G
107,108,1,STS-31
107,117,2,"STS-31, STS-45"
107,124,2,"STS-41-G, STS-45"
107,152,1,STS-45
107,172,1,STS-45
108,117,1,STS-31
108,126,1,STS-61-C
108,140,1,STS-82
